score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
62.0,Louisiana School Bus Driver,LA,1,6,278000,,1,0,,6 emp; $0.3M rev; year n/a; single; phone; school
62.0,Kosti School Transportation,NJ,1,3,263000,,1,0,,3 emp; $0.3M rev; year n/a; single; phone; school
62.0,Riverside Community School Inc,OH,1,3,261000,,1,0,,3 emp; $0.3M rev; year n/a; single; phone; school
61.0,North Newton Schools Bus Grge,IN,1,2,146000,,1,0,Nn.K12.In.Us,2 emp; $0.1M rev; year n/a; single; web+phone; school
61.0,Mayra School Transportation,FL,1,2,89000,,1,0,Dadeschools.Net,2 emp; $0.1M rev; year n/a; single; web+phone; school
61.0,Buckeye Valley School Bus Grge,OH,1,2,86000,,1,0,Mybvls.Org,2 emp; $0.1M rev; year n/a; single; web+phone; school
61.0,Solas School Bus Instruction,CA,1,2,78000,,1,0,Army.Mil,2 emp; $0.1M rev; year n/a; single; web+phone; school
61.0,Pounding Mill School/Bus Grge,VA,1,2,70000,,1,0,Tazewellcountypublicschools.Com,2 emp; $0.1M rev; year n/a; single; web+phone; school
61.0,Ohio School Bus Mechanics,OH,1,1,46000,,1,0,Osbma.Org,1 emp; $0.0M rev; year n/a; single; web+phone; school
60.5,School Bus 1,NJ,1,4,207000,2020,1,0,Howardmgmt.Com,4 emp; $0.2M rev; est 2020 (6y); single; web+phone; school
60.0,Accountax School-Bus Asb,CA,122,3315,141286000,,1,0,Peopelpc.Com,3315 emp; $141.3M rev; year n/a; very-large(50+); web+phone; school
60.0,M & E School Transportation,FL,1,9,378000,2018,1,0,,9 emp; $0.4M rev; est 2018 (8y); single; phone; school
60.0,Midstate School Bus,NE,1,9,378000,2016,1,0,,9 emp; $0.4M rev; est 2016 (10y); single; phone; school
59.0,School Dayz Transportation,NJ,2,6,335000,,1,0,,6 emp; $0.3M rev; year n/a; small(2-5); phone; school
58.5,Carlos & Susana School Bus,FL,1,8,0,,1,0,,8 emp; rev n/a; year n/a; single; phone; school
58.5,Shaw School Bus,PA,1,3,0,,1,0,,3 emp; rev n/a; year n/a; single; phone; school
58.5,School Transportation Mgmt,VA,1,8,0,,1,0,,8 emp; rev n/a; year n/a; single; phone; school
57.5,Henderson School Bus,MD,1,3,220000,,1,0,,3 emp; $0.2M rev; year n/a; single; phone; school
57.5,Schools Special Svc Trnsprtn,IN,1,5,210000,,1,0,,5 emp; $0.2M rev; year n/a; single; phone; school
57.5,College Bus LLC,OH,1,4,179000,,1,0,,4 emp; $0.2M rev; year n/a; single; phone; school
57.5,H & K School Transportation,NJ,1,3,169000,,1,0,,3 emp; $0.2M rev; year n/a; single; phone; school
57.5,Schools Transportation Easley,SC,1,4,168000,,1,0,,4 emp; $0.2M rev; year n/a; single; phone; school
57.5,School Bus Bin Svc,CA,1,3,143000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
