track,a_rank,bench_rank,company,factor,reason,sub_sector,scale_tier,geo
BENCH,,1183,Lansing School Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,KS
BENCH,,1183,Lansing School Bus Svc,outsourcing_ev_mandate,no_state_signal,Y,<50,KS
BENCH,,1184,Ryno School Transportation LLC,size_margin_signal,no_verified_fleet,Y,<50,TN
BENCH,,1184,Ryno School Transportation LLC,succession,no_founded_year,Y,<50,TN
BENCH,,1184,Ryno School Transportation LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TN
BENCH,,1184,Ryno School Transportation LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TN
BENCH,,1185,Jwbeard School Bus Inc,size_margin_signal,no_verified_fleet,Y,<50,MD
BENCH,,1185,Jwbeard School Bus Inc,succession,no_founded_year,Y,<50,MD
BENCH,,1185,Jwbeard School Bus Inc,driver_market_risk,national_only_no_state_signal,Y,<50,MD
BENCH,,1185,Jwbeard School Bus Inc,outsourcing_ev_mandate,no_state_signal,Y,<50,MD
BENCH,,1186,Bryant Bus Svc LLC,size_margin_signal,no_verified_fleet,Y,<50,TN
BENCH,,1186,Bryant Bus Svc LLC,succession,no_founded_year,Y,<50,TN
BENCH,,1186,Bryant Bus Svc LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TN
BENCH,,1186,Bryant Bus Svc LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TN
BENCH,,1187,SB School Bus LLC,size_margin_signal,no_verified_fleet,Y,<50,TN
BENCH,,1187,SB School Bus LLC,succession,no_founded_year,Y,<50,TN
BENCH,,1187,SB School Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TN
BENCH,,1187,SB School Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TN
BENCH,,1188,Safe T School Transit,size_margin_signal,no_verified_fleet,Y,<50,VT
BENCH,,1188,Safe T School Transit,succession,no_founded_year,Y,<50,VT
BENCH,,1188,Safe T School Transit,driver_market_risk,national_only_no_state_signal,Y,<50,VT
BENCH,,1188,Safe T School Transit,outsourcing_ev_mandate,no_state_signal,Y,<50,VT
BENCH,,1189,Okumura Bus Svc Inc,size_margin_signal,no_verified_fleet,Y,<50,HI
BENCH,,1189,Okumura Bus Svc Inc,succession,no_founded_year,Y,<50,HI
BENCH,,1189,Okumura Bus Svc Inc,driver_market_risk,national_only_no_state_signal,Y,<50,HI
BENCH,,1189,Okumura Bus Svc Inc,outsourcing_ev_mandate,no_state_signal,Y,<50,HI
BENCH,,1190,Walton Bus Svc Inc,size_margin_signal,no_verified_fleet,Y,<50,DE
BENCH,,1190,Walton Bus Svc Inc,succession,no_founded_year,Y,<50,DE
BENCH,,1190,Walton Bus Svc Inc,driver_market_risk,national_only_no_state_signal,Y,<50,DE
BENCH,,1190,Walton Bus Svc Inc,outsourcing_ev_mandate,no_state_signal,Y,<50,DE
BENCH,,1191,Strout's Bus Svc,size_margin_signal,no_verified_fleet,Y,<50,ME
BENCH,,1191,Strout's Bus Svc,succession,no_founded_year,Y,<50,ME
BENCH,,1191,Strout's Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,ME
BENCH,,1191,Strout's Bus Svc,outsourcing_ev_mandate,no_state_signal,Y,<50,ME
BENCH,,1192,Lewis Transportation LLC,driver_market_risk,national_only_no_state_signal,Y,<50,MD
BENCH,,1192,Lewis Transportation LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,MD
BENCH,,1193,Russian American Bus,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1193,Russian American Bus,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1194,R & R Big Bus,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1194,R & R Big Bus,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1195,World5 Inc Which Will Do Bus,driver_market_risk,national_only_no_state_signal,Y,<50,CA
BENCH,,1196,North Coast Bus Works LLC,driver_market_risk,national_only_no_state_signal,Y,<50,MI
BENCH,,1196,North Coast Bus Works LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,MI
BENCH,,1197,General International Bus,driver_market_risk,national_only_no_state_signal,Y,<50,CA
BENCH,,1198,John Henrys Express Bus Co,driver_market_risk,national_only_no_state_signal,Y,<50,NJ
BENCH,,1198,John Henrys Express Bus Co,outsourcing_ev_mandate,no_state_signal,Y,<50,NJ
BENCH,,1199,Beck Bus Co,driver_market_risk,national_only_no_state_signal,Y,<50,TN
BENCH,,1199,Beck Bus Co,outsourcing_ev_mandate,no_state_signal,Y,<50,TN
BENCH,,1200,Excel School Trnsprtn LLC,driver_market_risk,national_only_no_state_signal,Y,<50,NJ
BENCH,,1200,Excel School Trnsprtn LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,NJ
BENCH,,1201,A1 Mobile Transport,driver_market_risk,national_only_no_state_signal,S,<50,WI
BENCH,,1201,A1 Mobile Transport,outsourcing_ev_mandate,no_state_signal,S,<50,WI
BENCH,,1202,Lozano Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1202,Lozano Bus Svc,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1203,Magdalena School Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1203,Magdalena School Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1204,Map Transport LLC,size_margin_signal,no_verified_fleet,S,<50,VA
BENCH,,1204,Map Transport LLC,driver_market_risk,national_only_no_state_signal,S,<50,VA
BENCH,,1204,Map Transport LLC,outsourcing_ev_mandate,no_state_signal,S,<50,VA
BENCH,,1205,Alliance 1 Transportation,size_margin_signal,no_verified_fleet,S,<50,NC
BENCH,,1205,Alliance 1 Transportation,driver_market_risk,national_only_no_state_signal,S,<50,NC
BENCH,,1205,Alliance 1 Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,NC
BENCH,,1206,A & G Limo Svc,size_margin_signal,no_verified_fleet,S,<50,WI
BENCH,,1206,A & G Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,WI
BENCH,,1206,A & G Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,WI
BENCH,,1207,MK Trans Inc Which Will Do Bus,size_margin_signal,no_verified_fleet,Y,<50,NV
BENCH,,1207,MK Trans Inc Which Will Do Bus,driver_market_risk,national_only_no_state_signal,Y,<50,NV
BENCH,,1207,MK Trans Inc Which Will Do Bus,outsourcing_ev_mandate,no_state_signal,Y,<50,NV
BENCH,,1208,Four Legged Kids Sch Bus LLC,size_margin_signal,no_verified_fleet,Y,<50,NV
BENCH,,1208,Four Legged Kids Sch Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,NV
BENCH,,1208,Four Legged Kids Sch Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,NV
BENCH,,1209,Lpi Inc Which Will Do Bus,size_margin_signal,no_verified_fleet,Y,<50,NV
BENCH,,1209,Lpi Inc Which Will Do Bus,driver_market_risk,national_only_no_state_signal,Y,<50,NV
BENCH,,1209,Lpi Inc Which Will Do Bus,outsourcing_ev_mandate,no_state_signal,Y,<50,NV
BENCH,,1210,Lets Go 2 Transportation,size_margin_signal,no_verified_fleet,S,<50,OH
BENCH,,1210,Lets Go 2 Transportation,driver_market_risk,national_only_no_state_signal,S,<50,OH
BENCH,,1210,Lets Go 2 Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,OH
BENCH,,1211,Ahmed Abdelmotaleb Corp,size_margin_signal,no_verified_fleet,S,<50,NJ
BENCH,,1211,Ahmed Abdelmotaleb Corp,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1211,Ahmed Abdelmotaleb Corp,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1212,Obrien Limo Svc,size_margin_signal,no_verified_fleet,S,<50,KS
BENCH,,1212,Obrien Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,KS
BENCH,,1212,Obrien Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,KS
BENCH,,1213,Licking Limosne & Limo-Buses,size_margin_signal,no_verified_fleet,S,<50,OH
BENCH,,1213,Licking Limosne & Limo-Buses,driver_market_risk,national_only_no_state_signal,S,<50,OH
BENCH,,1213,Licking Limosne & Limo-Buses,outsourcing_ev_mandate,no_state_signal,S,<50,OH
BENCH,,1214,Washington Transportation,size_margin_signal,no_verified_fleet,S,<50,CT
BENCH,,1214,Washington Transportation,driver_market_risk,national_only_no_state_signal,S,<50,CT
BENCH,,1214,Washington Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,CT
BENCH,,1215,Right Away Transit,size_margin_signal,no_verified_fleet,S,<50,KS
BENCH,,1215,Right Away Transit,driver_market_risk,national_only_no_state_signal,S,<50,KS
BENCH,,1215,Right Away Transit,outsourcing_ev_mandate,no_state_signal,S,<50,KS
BENCH,,1216,Ace Of Hearts Limo Svc,size_margin_signal,no_verified_fleet,S,<50,VA
BENCH,,1216,Ace Of Hearts Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,VA
BENCH,,1216,Ace Of Hearts Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,VA
BENCH,,1217,Academy Student Trnsprtn Inc,size_margin_signal,no_verified_fleet,Y,<50,PA
BENCH,,1217,Academy Student Trnsprtn Inc,driver_market_risk,national_only_no_state_signal,Y,<50,PA
BENCH,,1218,Wisdom School TRNSPRTN LLC,size_margin_signal,no_verified_fleet,Y,<50,FL
BENCH,,1218,Wisdom School TRNSPRTN LLC,driver_market_risk,national_only_no_state_signal,Y,<50,FL
BENCH,,1219,Fleur D' Feaux Transport LLC,size_margin_signal,no_verified_fleet,S,<50,LA
BENCH,,1219,Fleur D' Feaux Transport LLC,driver_market_risk,national_only_no_state_signal,S,<50,LA
BENCH,,1219,Fleur D' Feaux Transport LLC,outsourcing_ev_mandate,no_state_signal,S,<50,LA
BENCH,,1220,Advantage Transportation,size_margin_signal,no_verified_fleet,S,<50,IL
BENCH,,1220,Advantage Transportation,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1220,Advantage Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1221,Price & Murdock Transportation,size_margin_signal,no_verified_fleet,S,<50,IL
BENCH,,1221,Price & Murdock Transportation,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1221,Price & Murdock Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1222,Trust Riders Medical Trnsprtn,size_margin_signal,no_verified_fleet,S,<50,IL
BENCH,,1222,Trust Riders Medical Trnsprtn,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1222,Trust Riders Medical Trnsprtn,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1223,Cheerful Transportation,size_margin_signal,no_verified_fleet,S,<50,OH
BENCH,,1223,Cheerful Transportation,driver_market_risk,national_only_no_state_signal,S,<50,OH
BENCH,,1223,Cheerful Transportation,outsourcing_ev_mandate,no_state_signal,S,<50,OH
BENCH,,1224,Oxford Executive Svc,size_margin_signal,no_verified_fleet,S,<50,TN
BENCH,,1224,Oxford Executive Svc,driver_market_risk,national_only_no_state_signal,S,<50,TN
BENCH,,1224,Oxford Executive Svc,outsourcing_ev_mandate,no_state_signal,S,<50,TN
BENCH,,1225,Accurate Transportation-Whlchr,size_margin_signal,no_verified_fleet,S,<50,NC
BENCH,,1225,Accurate Transportation-Whlchr,driver_market_risk,national_only_no_state_signal,S,<50,NC
BENCH,,1225,Accurate Transportation-Whlchr,outsourcing_ev_mandate,no_state_signal,S,<50,NC
BENCH,,1226,Affordable Passenger,size_margin_signal,no_verified_fleet,S,<50,OK
BENCH,,1226,Affordable Passenger,driver_market_risk,national_only_no_state_signal,S,<50,OK
BENCH,,1226,Affordable Passenger,outsourcing_ev_mandate,no_state_signal,S,<50,OK
BENCH,,1227,Dean & Dean Inc,size_margin_signal,no_verified_fleet,S,<50,OK
BENCH,,1227,Dean & Dean Inc,driver_market_risk,national_only_no_state_signal,S,<50,OK
BENCH,,1227,Dean & Dean Inc,outsourcing_ev_mandate,no_state_signal,S,<50,OK
BENCH,,1228,N J Limousine Svc,size_margin_signal,no_verified_fleet,S,<50,NJ
BENCH,,1228,N J Limousine Svc,driver_market_risk,national_only_no_state_signal,S,<50,NJ
